id,name,rating,review_count,address
vYiZ4GgILMc7kWs0nCuVmA,Street Bangkok,4.5,10,"112 rue Saint-Denis, 75002 Paris, France"
wzWEeTyVtUgRfsz_eSSVKw,Le Saint André,4.0,28,"2 rue Danton, 75006 Paris, France"
hrU7iuAC-iogLu-fEwEI_g,Uma Nota,4.5,13,"86 rue Réaumur, 75002 Paris, France"
aPLSj-9aNHSQpi7Sf5_9hA,Le Comptoir,4.0,453,"9 carrefour de l'Odeon, 75006 Paris, France"
d_tt3AgHNkphyH-fuI0e_g,Le Rigmarole,4.5,10,"10 rue du Grand Prieuré, 75011 Paris, France"
Qc2MviXVVyAXhrEtz47mpA,Table,4.5,15,"3 rue Prague, 75012 Paris, France"
puYpOhD1Eit6fKw2ID6Qgw,La Mascotte,4.5,2,"174 rue de Crimée, 75019 Paris, France"
hTClaTbijWdvdSyHxRIiPQ,La Grande Cremerie,4.5,35,"8 rue Grégoire-de-Tours, 75006 Paris, France"
L9fbk287a6MM2yKFLTmwSg,Marcelle,4.0,13,"22 rue Montmartre, 75001 Paris, France"
rDyAizc19FdR7m27e6FVdQ,Bistrot Valois,3.5,11,"1 place de Valois, 75001 Paris 01, France"
prSiklkzkMYOPs7IoONtjA,Dong Phat,4.5,91,"10 rue Malar, 75007 Paris, France"
r22SOV14alXUSGru9LhIoQ,East Mamma,4.5,262,"133 rue du Faubourg Saint-Antoine, 75011 Paris, France"
W0mWaURmq6cA08tNJB43Sg,Sacrée Fleur,4.5,102,"50 rue Clignancourt, 75018 Paris, France"
T4ZLuwazQfFZ_jz7-XGBqA,L'Escudella,4.5,8,"41 avenue de Ségur, 75007 Paris, France"
C8Gg5maujOFs-pKFxz3hJA,Aux Trois Mailletz,4.0,64,"56 rue Galande, 75005 Paris, France"
GxyDiKMzNyE-7Sui55h7jw,L'Aligot,5.0,14,"73 avenue Niel, 75017 Paris, France"
